Type1,Count1,Type2,Count2,Type3,Count3
Internal Medicine,0,Driving Schools,25,Chiropractors,0
Doctors,0,Specialty Schools,25,Chiropractors,0
Podiatrists,0,Nightlife,25,Doctors,0
Health & Medical,0,Nightlife,25,Health & Medical,0
Mattresses,1,Nightlife,22,Appliances,2
Shopping,1,Nightlife,22,Shopping,2
Restaurants,0,Airports,21,Italian,4
Restaurants,0,Hotels & Travel,21,Restaurants,4
Fashion,0,Education,25,Accessories,0
Shopping,0,Education,25,Shopping,0
Barbeque,9,Italian,5,Restaurants,12
Restaurants,9,Restaurants,5,Restaurants,12
Automotive,0,Bars,26,Parking,0
Automotive,0,Nightlife,26,Automotive,0
Karaoke,0,Pets,25,Nightlife,0
Nightlife,0,Pets,25,Nightlife,0
Teeth Whitening,0,Investing,26,Piercing,0
Legal Services,0,Real Estate Law,0,Hair Extensions,25
Legal Services,0,Lawyers,0,Hair Extensions,25
Face Painting,0,Creperies,25,Party & Event Planning,1
American (Traditional),0,Steakhouses,0,Tax Services,25
Vacation Rentals,1,Transportation,0,Trainers,24
Vacation Rentals,1,Train Stations,0,Fitness & Instruction,24
Mountain Biking,5,Convenience Stores,20,Gyms,0
Mountain Biking,5,Convenience Stores,20,Fitness & Instruction,0
Bikes,24,Hair Stylists,1,Piercing,0
Sporting Goods,24,Hair Salons,1,Piercing,0
Food,25,Fashion,0,Shopping,0
Food,25,Shopping,0,Shopping,0
Surgeons,0,Nightlife,25,Doctors,0
Libraries,25,Walking Tours,0,Bus Tours,0
Libraries,25,Tours,0,Tours,0
Burgers,12,Restaurants,8,Italian,5
Restaurants,12,Restaurants,8,Restaurants,5
Shaved Ice,25,Tires,0,Motorcycle Repair,0
Transportation,1,Shopping,24,Parking,0
Hotels & Travel,1,Shopping,24,Automotive,0
Post Offices,0,Advertising,22,Police Departments,3
Transportation,0,Airlines,0,Restaurants,25
Hotels & Travel,0,Hotels & Travel,0,Restaurants,25
Accountants,0,Casinos,25,Lawyers,0
DUI Law,17,Legal Services,1,Lawyers,7
Lawyers,17,Legal Services,1,Lawyers,7
Pilates,3,Trainers,10,Hiking,12
Fitness & Instruction,3,Fitness & Instruction,10,Hiking,12
Meat Shops,0,Specialty Food,0,Test Preparation,26
Specialty Food,0,Specialty Food,0,Test Preparation,26
Casinos,25,Pets,0,Veterinarians,0
