Type1,Type2,Human Mean(1-7)
Playgrounds,Kids Activities,6.2
Playgrounds,Parks,6.0
Playgrounds,Recreation Centers,5.72
Playgrounds,Soccer,4.0
Playgrounds,Rock Climbing,2.64
Playgrounds,Botanical Gardens,2.44
Playgrounds,Gas Stations,1.0
Auto Repair,Auto Parts & Supplies,5.84
Auto Repair,Towing,5.36
Auto Repair,Gas Stations,5.16
Auto Repair,Car Dealers,4.6
Auto Repair,Bike Repair/Maintenance,3.52
Auto Repair,Appliances & Repair,3.24
Auto Repair,Hair Salons,1.16
Pubs,Sports Bars,6.52
Pubs,Lounges,5.48
Pubs,Piano Bars,5.0
Pubs,Dance Clubs,4.84
Pubs,Coffeeshops,4.24
Pubs,Cupcakes,1.64
Pubs,Animal Shelters,1.12
Hotels,Hostels,6.08
Hotels,Bed & Breakfast,6.0
Hotels,Vacation Rentals,5.76
Hotels,Travel Services,4.72
Hotels,Apartments,3.88
Hotels,Lounges,3.32
Hotels,Children's Clothing,1.0
Hardware Stores,Paint Stores,5.16
Hardware Stores,Furniture Stores,3.36
Hardware Stores,Sporting Goods,2.64
Hardware Stores,Gardeners,2.6
Hardware Stores,Medical Supplies,1.84
Hardware Stores,Preschools,1.16
Hardware Stores,Tattoo,1.12
Restaurants,Coffeeshops,5.6
Restaurants,Italian,5.52
Restaurants,Grocery,3.8
Restaurants,Hotels,3.16
Restaurants,Dance Clubs,2.36
Restaurants,Animal Shelters,1.16
Restaurants,Doctors,1.16
Orthodontists,Dentists,6.76
Orthodontists,Doctors,5.92
Orthodontists,Emergency Rooms,3.88
Orthodontists,Insurance,2.84
Orthodontists,Drugstores,2.72
Orthodontists,Men's Clothing,1.28
Orthodontists,Beaches,1.12
Swimwear,Fashion,5.72
Swimwear,Lingerie,4.48
Swimwear,Men's Clothing,4.4
Swimwear,Accessories,4.36
Swimwear,Shopping,4.04
Swimwear,Department Stores,3.72
Swimwear,Zoos,1.04
Bars,Pubs,6.96
Bars,Nightlife,6.52
Bars,Restaurants,5.4
Bars,Casinos,4.4
Bars,Cinema,1.92
Bars,Electronics,1.24
Bars,Gardeners,1.08
Automotive,Car Dealers,6.32
Automotive,Limos,6.0
Automotive,Tires,5.92
Automotive,Towing,5.72
Automotive,Airports,2.48
Automotive,Hotels,1.52
Automotive,Pilates,1.04
Bars,Piano Bars,5.0
Bars,Dance Clubs,4.84
Bars,Cupcakes,1.64
Bars,Animal Shelters,1.12
Hotels,Real Estate,3.88
Hotels,Bars,3.32
Hotels,Fashion,1.0
Home & Garden,Sporting Goods,2.64
Home & Garden,Gardeners,2.6
Home & Garden,Medical Supplies,1.84
Home & Garden,Preschools,1.16
Home & Garden,Tattoo,1.12
Restaurants,Restaurants,5.52
Restaurants,Food,3.8
Restaurants,Event Planning & Services,3.16
Restaurants,Nightlife,2.36
Restaurants,Pets,1.16
Restaurants,Health & Medical,1.16
Dentists,Dentists,6.76
Dentists,Doctors,5.92
Dentists,Emergency Rooms,3.88
Dentists,Insurance,2.84
Dentists,Drugstores,2.72
Dentists,Beaches,1.12
Fashion,Fashion,5.72
Shopping,Shopping,4.04
Fashion,Department Stores,3.72
Fashion,Zoos,1.04
Bars,Bars,6.96
Nightlife,Nightlife,6.52
Nightlife,Restaurants,5.4
Automotive,Automotive,6.32
Automotive,Hotels & Travel,6.0
Automotive,Automotive,5.92
Automotive,Automotive,5.72
Automotive,Hotels & Travel,2.48
Automotive,Event Planning & Services,1.52
Automotive,Active Life,1.04
