Type1,Type2,Human Mean(1-7)
Playgrounds,Kids Activities,6.2
Playgrounds,Parks,6.0
Playgrounds,Recreation Centers,5.72
Playgrounds,Soccer,4.0
Playgrounds,Rock Climbing,2.64
Playgrounds,Botanical Gardens,2.44
Playgrounds,Gas Stations,1.0
Auto Repair,Auto Parts & Supplies,5.84
Auto Repair,Towing,5.36
Auto Repair,Gas Stations,5.16
Auto Repair,Car Dealers,4.6
Auto Repair,Bike Repair/Maintenance,3.52
Auto Repair,Appliances & Repair,3.24
Auto Repair,Hair Salons,1.16
Hotels,Hostels,6.08
Hotels,Bed & Breakfast,6.0
Hotels,Vacation Rentals,5.76
Hotels,Travel Services,4.72
Bars,Casinos,4.4
Bars,Cinema,1.92
Bars,Electronics,1.24
Bars,Gardeners,1.08
Bars,Piano Bars,5.0
Bars,Dance Clubs,4.84
Bars,Cupcakes,1.64
Bars,Animal Shelters,1.12
Hotels,Real Estate,3.88
Hotels,Bars,3.32
Hotels,Fashion,1.0
Home & Garden,Sporting Goods,2.64
Home & Garden,Gardeners,2.6
Home & Garden,Medical Supplies,1.84
Home & Garden,Preschools,1.16
Home & Garden,Tattoo,1.12
Dentists,Dentists,6.76
Dentists,Doctors,5.92
Dentists,Emergency Rooms,3.88
Dentists,Insurance,2.84
Dentists,Drugstores,2.72
Dentists,Beaches,1.12
Fashion,Fashion,5.72
Fashion,Zoos,1.04
Bars,Bars,6.96
